passive_id,item_name,slot,effect_type,trigger,value,value2,value3,max_stack,duration,description,stat_version,shape_id,grade,element
item_t1_focus_eye,통찰의 룬,1,CondCritChance,SameTarget,0.08,3,0,0,0,같은 적 3회 연속 공격 시 치명타 확률 +8%,1,1,Common,
item_t1_move_power,질주력의 룬,1,CondAllDamage,WhileMoving,0.12,0,0,0,0,이동 중 공격력 +12%,1,1,Common,
item_t1_preempt_blade,선제의 룬,1,CondMoveSpeed,AfterRoomEnter,0.25,0,0,0,5,방 진입 후 5초간 이동속도 +25%,1,2,Common,
item_t1_guard_instinct,본능의 룬,1,CondMaxHpPercent,DefenseAbove,0.12,30,0,0,0,방어력 30 이상일 때 최대 HP +12%,1,3,Common,
item_t1_stillness_power,정적의 룬,1,FirstHitBonus,Stationary,0.2,0,0,0,0.5,0.5초 이상 정지 후 첫 공격 피해 +20%,1,1,Common,
item_t1_skill_lingering,여운의 룬,1,CondDefensePercent,AfterSkill,0.15,0,0,0,3,스킬 사용 후 3초간 방어력 +15%,1,2,Common,
item_t1_threat_armor,위협의 룬,1,CondDefensePercent,EnemiesNearby,0.15,2,0,0,0,주변 3m 내 적 2체 이상일 때 방어력 +15%,1,3,Common,
item_t1_unbreakable_heart,불굴의 룬,1,CondMaxHpPercent,HPBelow30,0.2,0,0,0,0,HP 30% 이하 시 최대 HP +20%,1,1,Common,
item_t1_calm_blade,냉정의 룬,1,CondCritChance,NoHit,0.06,0,0,0,3,피격받지 않은 상태 3초 유지 시 치명타 확률 +6%,1,1,Common,
item_t1_battle_focus,전투의 룬,1,CondAttackSpeed,WhileSkillCooldown,0.15,0,0,0,0,스킬 쿨타임 대기 중 공격속도 +15%,1,2,Common,
item_t1_boss_resolve,각오의 룬,1,CondAllDamage,DuringBoss,0.1,0,0,0,0,보스 전투 중 공격력 +10%,1,3,Common,
item_t1_guard_oath,맹세의 룬,1,CondDefensePercent,HasShield,0.12,0,0,0,0,보호막이 존재할 때 방어력 +12%,1,1,Common,
item_t1_consecutive_sharp,연속의 룬,1,CondCritDamage,Consecutive,0.18,10,0,0,0,10회 연속 공격 유지 시 치명타 피해 +18%,1,1,Common,
item_t1_hit_recoil,반동의 룬,1,CondMoveSpeed,AfterHit,0.2,0,0,0,2,피격 직후 2초간 이동속도 +20%,1,2,Common,
item_t1_desperate_speed,절박의 룬,1,CondAttackSpeed,HPBelow40,0.18,0,0,0,0,HP 40% 이하 시 공격속도 +18%,1,3,Common,
item_t1_focus_hunter,사냥꾼의 룬,1,CondAllDamage,SingleEnemy,0.14,0,0,0,0,단일 적만 있을 때 공격력 +14%,1,1,Common,
item_t1_survival_intuition,직관의 룬,1,CondDefensePercent,AfterRoomEnter,0.25,0,0,0,3,방 진입 직후 3초간 방어력 +25%,1,1,Common,
item_t1_cooldown_accel,순환의 룬,1,CondMoveSpeed,WhileSkillCooldown,0.12,0,0,0,0,스킬 쿨타임 대기 중 이동속도 +12%,1,2,Common,
item_t2_heavy_weight,중력의 룬,1,AllDamage,Always,14,0,0,0,0,공격력 +14,1,4,Rare,
item_t2_iron_armor,철갑의 룬,1,Defense,Always,15,0,0,0,0,방어력 +15,1,5,Rare,
item_t2_giant_pack,거대함의 룬,1,MaxHP,Always,60,0,0,0,0,최대 HP +60,1,6,Rare,
item_t2_forged_hammer,망치의 룬,1,AllDamage,Always,10,0,0,0,0,공격력 +10,1,7,Rare,
item_t2_forged_hammer,망치의 룬,2,Defense,Always,5,0,0,0,0,방어력 +5,1,7,Rare,
item_t2_heavy_chain,속박의 룬,1,Defense,Always,12,0,0,0,0,방어력 +12,1,8,Rare,
item_t2_heavy_chain,속박의 룬,2,MaxHP,Always,20,0,0,0,0,최대 HP +20,1,8,Rare,
item_t2_thick_awl,천공의 룬,1,AllDamage,Always,14,0,0,0,0,공격력 +14,1,9,Rare,
item_t2_travel_bag,여정의 룬,1,MaxHP,Always,50,0,0,0,0,최대 HP +50,1,4,Rare,
item_t2_travel_bag,여정의 룬,2,Defense,Always,4,0,0,0,0,방어력 +4,1,4,Rare,
item_t2_steel_part,강철의 룬,1,AllDamage,Always,8,0,0,0,0,공격력 +8,1,5,Rare,
item_t2_steel_part,강철의 룬,2,MaxHP,Always,30,0,0,0,0,최대 HP +30,1,5,Rare,
item_t2_heavy_deck,중장갑의 룬,1,Defense,Always,15,0,0,0,0,방어력 +15,1,6,Rare,
item_t2_solid_core,코어의 룬,1,AllDamage,Always,9,0,0,0,0,공격력 +9,1,7,Rare,
item_t2_solid_core,코어의 룬,2,Defense,Always,9,0,0,0,0,방어력 +9,1,7,Rare,
item_t2_giant_nail,거석의 룬,1,AllDamage,Always,14,0,0,0,0,공격력 +14,1,8,Rare,
item_t2_heavy_armor_piece,파편의 룬,1,Defense,Always,10,0,0,0,0,방어력 +10,1,9,Rare,
item_t2_heavy_armor_piece,파편의 룬,2,MaxHP,Always,40,0,0,0,0,최대 HP +40,1,9,Rare,
item_t2_iron_bracelet,전투력의 룬,1,AllDamage,Always,0.14,0,0,0,0,공격력 +14%,1,4,Rare,
item_t2_iron_bracelet,전투력의 룬,2,DefensePercent,Always,0.08,0,0,0,0,방어력 +8%,1,4,Rare,
item_t2_warrior_heart,전사의 룬,1,MaxHPPercent,Always,0.2,0,0,0,0,최대 HP +20%,1,5,Rare,
item_t2_warrior_heart,전사의 룬,2,AllDamage,Always,0.06,0,0,0,0,공격력 +6%,1,5,Rare,
item_t2_dash_ankle,역동의 룬,1,MoveSpeed,Always,0.2,0,0,0,0,이동속도 +20%,1,6,Rare,
item_t2_dash_ankle,역동의 룬,2,AttackSpeed,Always,0.08,0,0,0,0,공격속도 +8%,1,6,Rare,
item_t2_fierce_blade,맹격의 룬,1,CritChance,Always,0.1,0,0,0,0,치명타 확률 +10%,1,7,Rare,
item_t2_fierce_blade,맹격의 룬,2,CritDamage,Always,0.18,0,0,0,0,치명타 피해 +18%,1,7,Rare,
item_t2_focus_flow,몰입의 룬,1,SkillCooldownReduction,Always,0.16,0,0,0,0,스킬 쿨타임 -16%,1,8,Rare,
item_t2_focus_flow,몰입의 룬,2,SkillDamage,Always,0.12,0,0,0,0,스킬 피해 +12%,1,8,Rare,
item_t2_steel_heart,강심장의 룬,1,MaxHPPercent,Always,0.24,0,0,0,0,최대 HP +24%,1,9,Rare,
item_t2_destruction_ring,파괴력의 룬,1,AllDamage,Always,0.18,0,0,0,0,공격력 +18%,1,4,Rare,
item_t2_guardian_shield,대방패의 룬,1,DefensePercent,Always,0.2,0,0,0,0,방어력 +20%,1,5,Rare,
item_t2_guardian_shield,대방패의 룬,2,MaxHPPercent,Always,0.08,0,0,0,0,최대 HP +8%,1,5,Rare,
item_t2_battle_charm,전투술의 룬,1,AllDamage,Always,0.11,0,0,0,0,공격력 +11%,1,6,Rare,
item_t2_battle_charm,전투술의 룬,2,DefensePercent,Always,0.11,0,0,0,0,방어력 +11%,1,6,Rare,
item_t2_strong_will,의지의 룬,1,MaxHPPercent,Always,0.16,0,0,0,0,최대 HP +16%,1,7,Rare,
item_t2_strong_will,의지의 룬,2,DefensePercent,Always,0.12,0,0,0,0,방어력 +12%,1,7,Rare,
item_t2_sharp_instinct,본능감의 룬,1,AttackSpeed,Always,0.16,0,0,0,0,공격속도 +16%,1,8,Rare,
item_t2_sharp_instinct,본능감의 룬,2,CritChance,Always,0.06,0,0,0,0,치명타 확률 +6%,1,8,Rare,
item_t2_destruction_pattern,인장의 룬,1,CritDamage,Always,0.28,0,0,0,0,치명타 피해 +28%,1,9,Rare,
item_t2_warrior_legacy,유산의 룬,1,AllDamage,Always,0.2,0,0,0,0,공격력 +20%,1,4,Rare,
item_t2_warrior_legacy,유산의 룬,2,DefensePercent,Always,0.06,0,0,0,0,방어력 +6%,1,4,Rare,
item_t2_strike_ring,강타의 룬,1,AllDamage,Always,0.15,0,0,0,0,공격력 +15%,1,5,Rare,
item_t2_strike_ring,강타의 룬,2,CritDamage,Always,0.15,0,0,0,0,치명타 피해 +15%,1,5,Rare,
item_t2_light_charm,광휘의 룬,1,SkillCooldownReduction,Always,0.2,0,0,0,0,스킬 쿨타임 -20%,1,6,Rare,
item_t2_light_charm,광휘의 룬,2,MaxHPPercent,Always,0.08,0,0,0,0,최대 HP +8%,1,6,Rare,
item_t2_crisis_sword,결사의 룬,1,CondAllDamage,HPBelow40,0.25,0,0,0,0,HP 40% 이하 시 공격력 +25%,1,7,Rare,
item_t2_crisis_sword,결사의 룬,2,CondCritChance,HPBelow40,0.08,0,0,0,0,HP 40% 이하 시 치명타 확률 +8%,1,7,Rare,
item_t2_rage_shield,격노의 룬,1,CondDefensePercent,HPBelow40,0.28,0,0,0,0,HP 40% 이하 시 방어력 +28%,1,8,Rare,
item_t2_rage_shield,격노의 룬,2,CondMoveSpeed,HPBelow40,0.1,0,0,0,0,HP 40% 이하 시 이동속도 +10%,1,8,Rare,
item_t2_skill_burst,폭발의 룬,1,CondAllDamage,AfterSkill,0.2,0,0,0,4,스킬 사용 직후 4초간 모든 피해 +20%,1,9,Rare,
item_t2_consecutive_power,연타의 룬,1,CondAllDamage,SameTarget,0.2,5,0,0,0,같은 적 5회 연속 적중 시 공격력 +20%,1,4,Rare,
item_t2_consecutive_power,연타의 룬,2,CondCritDamage,SameTarget,0.2,5,0,0,0,같은 적 5회 연속 적중 시 치명타 피해 +20%,1,4,Rare,
item_t2_dash_blade,쾌속검의 룬,1,CondAllDamage,WhileMoving,0.18,0,0,0,0,이동 중 공격력 +18%,1,5,Rare,
item_t2_dash_blade,쾌속검의 룬,2,CondCritChance,WhileMoving,0.06,0,0,0,0,이동 중 치명타 확률 +6%,1,5,Rare,
item_t2_preempt_armor,선봉의 룬,1,CondDefensePercent,AfterRoomEnter,0.3,0,0,0,8,방 진입 후 8초간 방어력 +30%,1,6,Rare,
item_t2_preempt_armor,선봉의 룬,2,CondMoveSpeed,AfterRoomEnter,0.15,0,0,0,8,방 진입 후 8초간 이동속도 +15%,1,6,Rare,
item_t2_defense_awaken,방패술의 룬,1,CondAllDamage,DefenseAbove,0.15,40,0,0,0,방어력 40 이상일 때 공격력 +15%,1,7,Rare,
item_t2_unbreakable_attack,투혼의 룬,1,CondAttackSpeed,HPBelow30,0.3,0,0,0,0,HP 30% 이하 시 공격속도 +30%,1,8,Rare,
item_t2_unbreakable_attack,투혼의 룬,2,CondMoveSpeed,HPBelow30,0.15,0,0,0,0,HP 30% 이하 시 이동속도 +15%,1,8,Rare,
item_t2_calm_crit,치명의 룬,1,CondCritChance,NoHit,0.12,0,0,0,4,피격받지 않은 상태 4초 유지 시 치명타 확률 +12%,1,9,Rare,
item_t2_calm_crit,치명의 룬,2,CondCritDamage,NoHit,0.2,0,0,0,4,피격받지 않은 상태 4초 유지 시 치명타 피해 +20%,1,9,Rare,
item_t2_skill_guard,보호술의 룬,1,CondDefensePercent,AfterSkill,0.2,0,0,0,4,스킬 사용 후 4초간 방어력 +20%,1,4,Rare,
item_t2_skill_guard,보호술의 룬,2,CondMaxHpPercent,AfterSkill,0.1,0,0,0,4,스킬 사용 후 4초간 최대 HP +10%,1,4,Rare,
item_t2_crowd_rage,광역분노의 룬,1,CondAllDamage,EnemiesNearby,0.2,3,0,0,0,주변 3m 내 적 3체 이상일 때 공격력 +20%,1,5,Rare,
item_t2_boss_focus,강적의 룬,1,CondAllDamage,DuringBoss,0.18,0,0,0,0,보스 전투 중 공격력 +18%,1,6,Rare,
item_t2_boss_focus,강적의 룬,2,CondSkillDamage,DuringBoss,0.12,0,0,0,0,보스 전투 중 스킬 피해 +12%,1,6,Rare,
item_t2_shield_enhance,역장의 룬,1,CondAllDamage,HasShield,0.15,0,0,0,0,보호막이 존재할 때 공격력 +15%,1,7,Rare,
item_t2_shield_enhance,역장의 룬,2,CondCritChance,HasShield,0.06,0,0,0,0,보호막이 존재할 때 치명타 확률 +6%,1,7,Rare,
item_t2_stillness_burst,잠재력의 룬,1,FirstHitBonus,Stationary,0.35,0,0,0,1,1초 이상 정지 후 첫 공격 피해 +35%,1,8,Rare,
item_t2_hit_rage,역경의 룬,1,CondAllDamage,AfterHit,0.22,0,0,0,3,피격 직후 3초간 공격력 +22%,1,9,Rare,
item_t2_hit_rage,역경의 룬,2,CondAttackSpeed,AfterHit,0.12,0,0,0,3,피격 직후 3초간 공격속도 +12%,1,9,Rare,
item_t2_battlefield_rule,지배의 룬,1,CondAllDamage,SingleEnemy,0.25,0,0,0,0,방 내 적이 1체만 남았을 때 모든 피해 +25%,1,4,Rare,
item_t2_survival_will,생존의 룬,1,CondMaxHpPercent,HPBelow50,0.15,0,0,0,0,HP 50% 이하 시 최대 HP +15%,1,5,Rare,
item_t2_survival_will,생존의 룬,2,CondDefensePercent,HPBelow50,0.1,0,0,0,0,HP 50% 이하 시 방어력 +10%,1,5,Rare,
item_t2_first_strike,선공의 룬,1,FirstHitBonus,FirstAttackInRoom,0.4,0,0,0,0,방 진입 후 첫 번째 공격 피해 +40%,1,6,Rare,
item_t3_fire_ember,잔불의 룬,3,AllDamage,Always,14,0,0,0,0,공격력 +14,1,39,Epic,FIRE
item_t3_fire_ember,잔불의 룬,3,PoisonOnHit,OnHit,0.2,0.12,0,0,3,"적중 시 20% 화상(공격력 12%/틱, 3초)",1,39,Epic,FIRE
item_t3_fire_scar,화상의 룬,4,MaxHP,Always,70,0,0,0,0,최대 체력 +70,1,45,Epic,FIRE
item_t3_fire_scar,화상의 룬,4,DamageReflect,OnHit,0.25,0,0,0,0,받은 피해의 25% 반사,1,45,Epic,FIRE
item_t3_fire_spark,불티의 룬,4,CritDamage,Always,0.2,0,0,0,0,치명타 피해 +20%,1,46,Epic,FIRE
item_t3_fire_spark,불티의 룬,4,ExtraAttack,OnHit,0.12,0,0,0,0,적중 시 12% 추가타,1,46,Epic,FIRE
item_t3_ice_frost,서리의 룬,4,AllDamage,Always,12,0,0,0,0,공격력 +12,1,47,Epic,ICE
item_t3_ice_frost,서리의 룬,4,Freeze,OnHit,0.1,0,0,0,1.2,적중 시 10% 빙결 1.2초,1,47,Epic,ICE
item_t3_ice_congeal,동결의 룬,4,Defense,Always,16,0,0,0,0,방어력 +16,1,48,Epic,ICE
item_t3_ice_congeal,동결의 룬,4,DamageReduction,Always,0.1,0,0,0,0,받는 피해 -10%,1,48,Epic,ICE
item_t3_ice_crystal,결정의 룬,3,CritChance,Always,0.07,0,0,0,0,치명타 확률 +7%,1,40,Epic,ICE
item_t3_ice_crystal,결정의 룬,3,ProjectilePierce,Always,1,0,0,0,0,투사체 관통 +1,1,40,Epic,ICE
item_t3_elec_static,정전의 룬,3,AttackSpeed,Always,0.1,0,0,0,0,공격속도 +10%,1,41,Epic,ELECTRIC
item_t3_elec_static,정전의 룬,3,Stun,OnHit,0.08,0,0,0,0.8,적중 시 8% 기절 0.8초,1,41,Epic,ELECTRIC
item_t3_elec_rod,피뢰의 룬,4,Defense,Always,14,0,0,0,0,방어력 +14,1,49,Epic,ELECTRIC
item_t3_elec_rod,피뢰의 룬,4,DefenseOnHit,OnHit,2,0,0,10,0,피격 시 방어 +2 누적(최대 10),1,49,Epic,ELECTRIC
item_t3_elec_arc,방전의 룬,4,CritChance,Always,0.08,0,0,0,0,치명타 확률 +8%,1,50,Epic,ELECTRIC
item_t3_elec_arc,방전의 룬,4,ProjectileCount,Always,1,0,0,0,0,투사체 수 +1,1,50,Epic,ELECTRIC
item_t3_grass_venom,맹독의 룬,3,CritChance,Always,0.06,0,0,0,0,치명타 확률 +6%,1,42,Epic,GRASS
item_t3_grass_venom,맹독의 룬,3,PoisonOnHit,OnHit,0.2,0.12,0,0,4,"적중 시 20% 중독(공격력 12%/틱, 4초)",1,42,Epic,GRASS
item_t3_grass_bloom,번식의 룬,4,MaxHP,Always,80,0,0,0,0,최대 체력 +80,1,51,Epic,GRASS
item_t3_grass_bloom,번식의 룬,4,HPRegenOnHit,OnHit,1,0,0,0,0,적중 시 체력 회복,1,51,Epic,GRASS
item_t3_grass_spore,포자의 룬,4,Defense,Always,12,0,0,0,0,방어력 +12,1,52,Epic,GRASS
item_t3_grass_spore,포자의 룬,4,DebuffDuration,Always,0.25,0,0,0,0,디버프 지속 +25%,1,52,Epic,GRASS
item_t3_light_radiance,광채의 룬,3,CritChance,Always,0.09,0,0,0,0,치명타 확률 +9%,1,43,Epic,LIGHT
item_t3_light_radiance,광채의 룬,3,CondAllDamage,SingleEnemy,0.18,0,0,0,0,단일 대상 피해 +18%,1,43,Epic,LIGHT
item_t3_light_grace,가호의 룬,4,MaxHP,Always,70,0,0,0,0,최대 체력 +70,1,53,Epic,LIGHT
item_t3_light_grace,가호의 룬,4,HealingReceived,Always,0.2,0,0,0,0,받는 회복량 +20%,1,53,Epic,LIGHT
item_t3_light_sanctum,성역의 룬,5,CritDamage,Always,0.24,0,0,0,0,치명타 피해 +24%,1,56,Epic,LIGHT
item_t3_light_sanctum,성역의 룬,5,HPRegenOnClear,OnRoomClear,0.05,0,0,0,0,방 클리어 시 체력 5% 회복,1,56,Epic,LIGHT
item_t3_dark_erode,잠식의 룬,4,AllDamage,Always,16,0,0,0,0,공격력 +16,1,54,Epic,DARK
item_t3_dark_erode,잠식의 룬,4,FirstAttackAfterRoll,Always,0.4,0,0,0,0,구르기 직후 첫 공격 +40%,1,54,Epic,DARK
item_t3_dark_shade,암영의 룬,4,Defense,Always,15,0,0,0,0,방어력 +15,1,55,Epic,DARK
item_t3_dark_shade,암영의 룬,4,DebuffResistance,Always,0.3,0,0,0,0,디버프 저항 +30%,1,55,Epic,DARK
item_t3_dark_afterimage,잔상의 룬,3,MoveSpeed,Always,0.08,0,0,0,0,이동속도 +8%,1,44,Epic,DARK
item_t3_dark_afterimage,잔상의 룬,3,RollDistance,Always,0.25,0,0,0,0,구르기 거리 +25%,1,44,Epic,DARK
item_t4_fire_aoe,마그마 분출,14,FireLegendAoe,OnTimer,0.65,6.0,5.0,1,0,마그마 광역: 6초마다 반경 5m 화염 폭발 공격력 65%,1,21,Legendary,FIRE
item_t4_fire_single,불사조 강타,11,FireLegendSingle,OnHitCount,3.5,12.0,0.5,1,0,불사조 단일기: 12회 적중마다 공격력 350% 강타,1,22,Legendary,FIRE
item_t4_fire_proj,화염 오브,9,FireLegendProjectile,OnActivate,0.8,0.1,5.0,1,0,화염 오브: 전투 중 오브 5개 비행 궤적 화염 장판,1,23,Legendary,FIRE
item_t4_ice_aoe,빙하 파동,9,IceLegendAoe,OnTimer,0.5,10.0,2.0,1,0,냉기 파동: 10초마다 전 필드 공격력 50% + 빙결,1,24,Legendary,ICE
item_t4_ice_single,얼음 창 폭격,11,IceLegendSingle,OnTimer,0.6,8.0,1.0,1,0,얼음 창: 8초마다 최저체력 적 5발 + 빙하 폭파,1,25,Legendary,ICE
item_t4_ice_field,영구 빙판,9,IceLegendField,OnActivate,0.15,3.0,0.5,1,0,빙판 설치: 룸 진입 시 3개 영구 빙판 생성,1,26,Legendary,ICE
item_t4_elec_aoe,천둥 폭격,11,ElecLegendAoe,OnTimer,0.7,10.0,3.0,1,0,번개 낙뢰: 10초마다 랜덤 3적 공격력 70%,1,27,Legendary,ELECTRIC
item_t4_elec_single,과전류 포박,11,ElecLegendSingle,OnTimer,0.4,15.0,2.0,1,0,전기 포박: 15초마다 단일 3초 포박 + 방전 폭발,1,28,Legendary,ELECTRIC
item_t4_elec_proj,전자기 구체,9,ElecLegendProjectile,OnActivate,0.6,3.0,1.2,1,0,전자기 구체: 전투 중 3개 자율 공격 구체 배치,1,29,Legendary,ELECTRIC
item_t4_grass_aoe,포자 폭발,14,GrassLegendAoe,OnTimer,0.4,10.0,0.12,1,0,독 포자: 10초마다 전 필드 독 40% + DoT,1,30,Legendary,GRASS
item_t4_grass_single,덩굴 구속,11,GrassLegendSingle,OnTimer,0.8,15.0,2.4,1,0,덩굴 구속: 15초마다 최강 적 구속 + 독 240%,1,31,Legendary,GRASS
item_t4_grass_proj,사방 독 화살,9,GrassLegendProjectile,OnActivate,0.7,3.0,1.0,1,0,독 화살: 4방향 관통 화살 지속 발사,1,32,Legendary,GRASS
item_t4_light_aoe,신성 폭발,15,LightLegendAoe,OnTimer,0.8,12.0,0.4,1,0,신성 폭발: 12초마다 반경 6m 공격력 80%,1,33,Legendary,LIGHT
item_t4_light_single,성스러운 심판,13,LightLegendSingle,OnCritCount,1.5,15.0,5.0,1,0,빛의 심판: 치명타 15회마다 집중 광선 5타 150%,1,34,Legendary,LIGHT
item_t4_light_proj,영원의 성검,9,LightLegendProjectile,OnActivate,1.0,5.0,0.0,1,0,빛의 성검: 전투 중 5개 반사 성검 지속 비행,1,35,Legendary,LIGHT
item_t4_dark_aoe,심연 잠식,14,DarkLegendAoe,OnTimer,0.6,8.0,5.0,1,0,어둠 잠식: 8초마다 전 필드 공격력 60%,1,36,Legendary,DARK
item_t4_dark_single,그림자 분신,10,DarkLegendSingle,OnTimer,1.5,30.0,5.0,1,0,분신 강타: 30초마다 분신 5체 공격력 150% 추가타,1,37,Legendary,DARK
item_t4_dark_proj,어둠의 낫,9,DarkLegendProjectile,OnActivate,0.9,5.0,3.0,1,0,어둠 낫: 전투 중 5개 곡선 관통 낫 지속 비행,1,38,Legendary,DARK
