index,shop_entry_id,category,target_id,price_override,weight,stat_version
2127,shop_item_three_bears_porridge,item,item_three_bears_porridge,0,10,1
2128,shop_item_thumbelina_petal,item,item_thumbelina_petal,0,10,1
2129,shop_item_tortoise_carrot,item,item_tortoise_carrot,0,10,1
2130,shop_item_troll_hide,item,item_troll_hide,0,10,1
2201,shop_item_aladdin_carpet,item,item_aladdin_carpet,0,10,1
2202,shop_item_alibaba_treasure_map,item,item_alibaba_treasure_map,0,10,1
2203,shop_item_cinderella_carriage,item,item_cinderella_carriage,0,10,1
2204,shop_item_crystal_ball,item,item_crystal_ball,0,10,1
2205,shop_item_earth_giant_footprint,item,item_earth_giant_footprint,0,10,1
2206,shop_item_fairy_godmother_wand,item,item_fairy_godmother_wand,0,10,1
2207,shop_item_fire_dragon_scale,item,item_fire_dragon_scale,0,10,1
2208,shop_item_hansel_breadcrumbs,item,item_hansel_breadcrumbs,0,10,1
2209,shop_item_jack_beanstalk_golden_egg,item,item_jack_beanstalk_golden_egg,0,10,1
2210,shop_item_mage_pointy_hat,item,item_mage_pointy_hat,0,10,1
2211,shop_item_merlin_wand_piece,item,item_merlin_wand_piece,0,10,1
2212,shop_item_mermaid_voice_shell,item,item_mermaid_voice_shell,0,10,1
2213,shop_item_mowgli_instinct,item,item_mowgli_instinct,0,10,1
2214,shop_item_nemologic_parchment,item,item_nemologic_parchment,0,10,1
2215,shop_item_north_wind_cloak,item,item_north_wind_cloak,0,10,1
2216,shop_item_peter_pan_shadow,item,item_peter_pan_shadow,0,10,1
2217,shop_item_puss_in_boots,item,item_puss_in_boots,0,10,1
2218,shop_item_rapunzel_tower,item,item_rapunzel_tower,0,10,1
2219,shop_item_robin_hood_quiver,item,item_robin_hood_quiver,0,10,1
2220,shop_item_snow_queen_ice,item,item_snow_queen_ice,0,10,1
2221,shop_item_snow_white_mirror,item,item_snow_white_mirror,0,10,1
2222,shop_item_witch_poison_candy,item,item_witch_poison_candy,0,10,1
2223,shop_item_wolf_claw,item,item_wolf_claw,0,10,1
2224,shop_item_wonderland_key,item,item_wonderland_key,0,10,1
2301,shop_item_babel_brick,item,item_babel_brick,0,10,1
2302,shop_item_dragon_heart,item,item_dragon_heart,0,10,1
2303,shop_item_excalibur_fragment,item,item_excalibur_fragment,0,10,1
2304,shop_item_faust_contract,item,item_faust_contract,0,10,1
2305,shop_item_forbidden_spellbook,item,item_forbidden_spellbook,0,10,1
2306,shop_item_giant_heart,item,item_giant_heart,0,10,1
2307,shop_item_holy_grail_shield,item,item_holy_grail_shield,0,10,1
2308,shop_item_ifrit_ring,item,item_ifrit_ring,0,10,1
2309,shop_item_medusa_eye,item,item_medusa_eye,0,10,1
2310,shop_item_odysseus_bow,item,item_odysseus_bow,0,10,1
2311,shop_item_phoenix_feather,item,item_phoenix_feather,0,10,1
2312,shop_item_thor_hammer_fragment,item,item_thor_hammer_fragment,0,10,1
2313,shop_item_three_witches_thread,item,item_three_witches_thread,0,10,1
2314,shop_item_time_hourglass,item,item_time_hourglass,0,10,1
2315,shop_item_titania_wings,item,item_titania_wings,0,10,1
2316,shop_item_witch_curse_doll,item,item_witch_curse_doll,0,10,1
2317,shop_item_witch_cursed_crown,item,item_witch_cursed_crown,0,10,1
2401,shop_item_aladdin_lamp,item,item_aladdin_lamp,0,10,1
2402,shop_item_artemis_arrow,item,item_artemis_arrow,0,10,1
2403,shop_item_black_wings,item,item_black_wings,0,10,1
2404,shop_item_cinderella_pumpkin,item,item_cinderella_pumpkin,0,10,1
2405,shop_item_demon_king_tear,item,item_demon_king_tear,0,10,1
2406,shop_item_fairy_tale_end,item,item_fairy_tale_end,0,10,1
2407,shop_item_fate_dice,item,item_fate_dice,0,10,1
2408,shop_item_philosophers_stone,item,item_philosophers_stone,0,10,1
2409,shop_item_world_tree_seed,item,item_world_tree_seed,0,10,1
